task,target,slot,success,steps,asks,searches,score,trace
identify_film,Spirited Away,,False,3,3,3,,"[{""action"": ""ask"", ""slot"": ""Era"", ""question"": ""Could you share a bit more about the era?""}, {""action"": ""answer"", ""slot"": ""Era"", ""value"": ""2000s"", ""source"": ""graph""}, {""action"": ""search"", ""query"": ""Animation 2000s"", ""top_title"": ""History of animation"", ""top_url"": ""https://en.wikipedia.org/wiki/History%20of%20animation""}, {""action"": ""write_back"", ""object"": ""History of animation"", ""url"": ""https://en.wikipedia.org/wiki/History%20of%20animation"", ""status"": ""exists""}, {""action"": ""ask"", ""slot"": ""Country"", ""question"": ""Could you share a bit more about the country?""}, {""action"": ""answer"", ""slot"": ""Country"", ""value"": ""Japan"", ""source"": ""graph""}, {""action"": ""search"", ""query"": ""Animation 2000s Japan"", ""top_title"": ""Anime"", ""top_url"": ""https://en.wikipedia.org/wiki/Anime""}, {""action"": ""write_back"", ""object"": ""Anime"", ""url"": ""https://en.wikipedia.org/wiki/Anime"", ""status"": ""exists""}, {""action"": ""ask"", ""slot"": ""Studio"", ""question"": ""Could you share a bit more about the studio?""}, {""action"": ""answer"", ""slot"": ""Studio"", ""value"": ""Studio Ghibli"", ""source"": ""graph""}, {""action"": ""search"", ""query"": ""Animation 2000s Japan Studio Ghibli"", ""top_title"": ""History of animation"", ""top_url"": ""https://en.wikipedia.org/wiki/History%20of%20animation""}, {""action"": ""write_back"", ""object"": ""History of animation"", ""url"": ""https://en.wikipedia.org/wiki/History%20of%20animation"", ""status"": ""exists""}]"
identify_film,Parasite,,False,3,3,3,,"[{""action"": ""ask"", ""slot"": ""GenreCluster"", ""question"": ""Could you share a bit more about the genre cluster?""}, {""action"": ""answer"", ""slot"": ""GenreCluster"", ""value"": ""Thriller"", ""source"": ""graph""}, {""action"": ""search"", ""query"": ""South Korea Thriller"", ""top_title"": ""Trigger (South Korean TV series)"", ""top_url"": ""https://en.wikipedia.org/wiki/Trigger%20%28South%20Korean%20TV%20series%29""}, {""action"": ""write_back"", ""object"": ""Trigger (South Korean TV series)"", ""url"": ""https://en.wikipedia.org/wiki/Trigger%20%28South%20Korean%20TV%20series%29"", ""status"": ""exists""}, {""action"": ""ask"", ""slot"": ""Era"", ""question"": ""Could you share a bit more about the era?""}, {""action"": ""answer"", ""slot"": ""Era"", ""value"": ""2010s"", ""source"": ""graph""}, {""action"": ""search"", ""query"": ""South Korea Thriller 2010s"", ""top_title"": ""Missing You (2016 film)"", ""top_url"": ""https://en.wikipedia.org/wiki/Missing%20You%20%282016%20film%29""}, {""action"": ""write_back"", ""object"": ""Missing You (2016 film)"", ""url"": ""https://en.wikipedia.org/wiki/Missing%20You%20%282016%20film%29"", ""status"": ""exists""}, {""action"": ""ask"", ""slot"": ""Studio"", ""question"": ""Could you share a bit more about the studio?""}, {""action"": ""answer"", ""slot"": ""Studio"", ""value"": ""Barunson E&A"", ""source"": ""graph""}, {""action"": ""search"", ""query"": ""South Korea Thriller 2010s Barunson E&A"", ""top_title"": ""RV: Resurrected Victims"", ""top_url"": ""https://en.wikipedia.org/wiki/RV%3A%20Resurrected%20Victims""}, {""action"": ""write_back"", ""object"": ""RV: Resurrected Victims"", ""url"": ""https://en.wikipedia.org/wiki/RV%3A%20Resurrected%20Victims"", ""status"": ""created""}]"
identify_film,The Godfather,,False,1,0,1,,"[{""action"": ""early_success"", ""reason"": ""unique_graph_match"", ""candidates"": [""The Godfather""]}, {""action"": ""verification_search"", ""query"": ""1970s"", ""top_title"": ""1970s"", ""top_url"": ""https://en.wikipedia.org/wiki/1970s""}]"
identify_film,Inception,,False,3,3,3,,"[{""action"": ""ask"", ""slot"": ""GenreCluster"", ""question"": ""Could you share a bit more about the genre cluster?""}, {""action"": ""answer"", ""slot"": ""GenreCluster"", ""value"": ""Sci-Fi"", ""source"": ""graph""}, {""action"": ""search"", ""query"": ""Warner Bros. Sci-Fi"", ""top_title"": ""List of Warner Bros. films (2020\u20132029)"", ""top_url"": ""https://en.wikipedia.org/wiki/List%20of%20Warner%20Bros.%20films%20%282020%E2%80%932029%29""}, {""action"": ""write_back"", ""object"": ""List of Warner Bros. films (2020\u20132029)"", ""url"": ""https://en.wikipedia.org/wiki/List%20of%20Warner%20Bros.%20films%20%282020%E2%80%932029%29"", ""status"": ""exists""}, {""action"": ""ask"", ""slot"": ""Era"", ""question"": ""Could you share a bit more about the era?""}, {""action"": ""answer"", ""slot"": ""Era"", ""value"": ""2010s"", ""source"": ""graph""}, {""action"": ""search"", ""query"": ""Warner Bros. Sci-Fi 2010s"", ""top_title"": ""2010s in film"", ""top_url"": ""https://en.wikipedia.org/wiki/2010s%20in%20film""}, {""action"": ""write_back"", ""object"": ""2010s in film"", ""url"": ""https://en.wikipedia.org/wiki/2010s%20in%20film"", ""status"": ""exists""}, {""action"": ""ask"", ""slot"": ""Country"", ""question"": ""Could you share a bit more about the country?""}, {""action"": ""answer"", ""slot"": ""Country"", ""value"": ""United States"", ""source"": ""graph""}, {""action"": ""search"", ""query"": ""Warner Bros. Sci-Fi 2010s United States"", ""top_title"": ""2010s in film"", ""top_url"": ""https://en.wikipedia.org/wiki/2010s%20in%20film""}, {""action"": ""write_back"", ""object"": ""2010s in film"", ""url"": ""https://en.wikipedia.org/wiki/2010s%20in%20film"", ""status"": ""exists""}]"
identify_film,Pan's Labyrinth,,False,1,0,1,,"[{""action"": ""early_success"", ""reason"": ""unique_graph_match"", ""candidates"": [""Pan's Labyrinth""]}, {""action"": ""verification_search"", ""query"": ""Spain"", ""top_title"": ""Spain"", ""top_url"": ""https://en.wikipedia.org/wiki/Spain""}]"
identify_film,My Neighbor Totoro,,False,3,3,3,,"[{""action"": ""ask"", ""slot"": ""GenreCluster"", ""question"": ""Could you share a bit more about the genre cluster?""}, {""action"": ""answer"", ""slot"": ""GenreCluster"", ""value"": ""Animation"", ""source"": ""graph""}, {""action"": ""search"", ""query"": ""Studio Ghibli Animation"", ""top_title"": ""Studio Ghibli"", ""top_url"": ""https://en.wikipedia.org/wiki/Studio%20Ghibli""}, {""action"": ""write_back"", ""object"": ""Studio Ghibli"", ""url"": ""https://en.wikipedia.org/wiki/Studio%20Ghibli"", ""status"": ""exists""}, {""action"": ""ask"", ""slot"": ""Era"", ""question"": ""Could you share a bit more about the era?""}, {""action"": ""answer"", ""slot"": ""Era"", ""value"": ""1980s"", ""source"": ""graph""}, {""action"": ""search"", ""query"": ""Studio Ghibli Animation 1980s"", ""top_title"": ""Studio Ghibli"", ""top_url"": ""https://en.wikipedia.org/wiki/Studio%20Ghibli""}, {""action"": ""write_back"", ""object"": ""Studio Ghibli"", ""url"": ""https://en.wikipedia.org/wiki/Studio%20Ghibli"", ""status"": ""exists""}, {""action"": ""ask"", ""slot"": ""Country"", ""question"": ""Could you share a bit more about the country?""}, {""action"": ""answer"", ""slot"": ""Country"", ""value"": ""Japan"", ""source"": ""graph""}, {""action"": ""search"", ""query"": ""Studio Ghibli Animation 1980s Japan"", ""top_title"": ""Studio Ghibli"", ""top_url"": ""https://en.wikipedia.org/wiki/Studio%20Ghibli""}, {""action"": ""write_back"", ""object"": ""Studio Ghibli"", ""url"": ""https://en.wikipedia.org/wiki/Studio%20Ghibli"", ""status"": ""exists""}]"
retrieve_award,Spirited Away,,False,1,0,1,,"[{""action"": ""search"", ""query"": ""Spirited Away awards"", ""top_title"": ""Spirited Away"", ""top_url"": ""https://en.wikipedia.org/wiki/Spirited%20Away""}, {""action"": ""write_back"", ""object"": ""Spirited Away"", ""url"": ""https://en.wikipedia.org/wiki/Spirited%20Away"", ""status"": ""exists""}]"
retrieve_award,The Godfather,,False,1,0,1,,"[{""action"": ""search"", ""query"": ""The Godfather awards"", ""top_title"": ""The Godfather"", ""top_url"": ""https://en.wikipedia.org/wiki/The%20Godfather""}, {""action"": ""write_back"", ""object"": ""The Godfather"", ""url"": ""https://en.wikipedia.org/wiki/The%20Godfather"", ""status"": ""exists""}]"
qa_fact,Spirited Away,Country,True,0,0,0,,"[{""action"": ""read_graph"", ""slot"": ""Country"", ""value"": ""Japan""}]"
qa_fact,The Godfather,Era,True,0,0,0,,"[{""action"": ""read_graph"", ""slot"": ""Era"", ""value"": ""1970s""}]"
